"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Cesar Gutierrez","- - -","223","600","0","61","26","7","5.0%","8.5%",".046",".258",".235",".277",".281",".251","50","-0.4","-35.4","-7.8","-2.6","1005155"
"Red Barrett","- - -","250","456","0","17","29","0","1.1%","18.2%",".028",".171",".136",".149",".163",".148","-19","-0.1","-64.8","26.9","-2.6","1000600"
"Eddie O'Brien","Pirates","230","605","0","64","25","11","6.1%","7.4%",".032",".257",".236",".288",".269",".262","48","-0.2","-40.3","-3.1","-2.6","1009690"
"Charlie Reilley","- - -","119","442","0","36","34","","0.7%","8.8%",".023",".236",".210",".215",".232",".204","60","0.0","-24.4","-17.5","-2.6","1010799"
"Esteban Beltre","- - -","186","443","1","46","35","5","6.3%","16.5%",".050",".285",".237",".285",".287",".262","51","-1.3","-28.5","-12.0","-2.6","1000823"
"Gracie Pierce","- - -","84","312","0","21","2","","1.6%","14.3%",".026",".094",".186",".199",".212",".189","55","0.0","-21.2","-18.3","-2.6","1010328"
"Dummy Taylor","- - -","276","725","0","51","41","1","5.7%","",".022","",".144",".197",".166",".183","18","-3.0","-75.0","25.1","-2.6","1012867"
"Al Kaiser","- - -","155","540","3","58","38","16","6.3%","15.2%",".079",".255",".216",".274",".295",".277","57","0.9","-28.3","-14.4","-2.6","1006670"
"Bill Plummer","- - -","367","1007","14","72","82","4","9.4%","19.0%",".091",".221",".188",".267",".279",".254","54","-0.2","-53.4","-4.0","-2.6","1010399"
"Bob Veale","- - -","349","676","0","26","18","0","2.7%","49.9%",".014",".246",".114",".139",".129",".125","-26","0.1","-95.5","50.5","-2.6","1013391"
"Tony Cruz","- - -","272","664","6","51","61","0","4.8%","19.7%",".092",".262",".216",".256",".308",".248","54","-4.9","-40.6","-3.8","-2.6","2802"
"Johnny Broaca","- - -","121","277","0","10","9","0","3.6%","43.0%",".000",".170",".091",".125",".091",".109","-40","-0.5","-56.3","18.8","-2.6","1001453"
"George Townsend","- - -","152","578","0","60","53","16","5.4%","9.2%",".052",".213",".187",".239",".238",".235","50","-1.8","-46.1","-6.9","-2.6","1013144"
"David McCarty","- - -","632","1647","36","182","175","9","7.7%","22.3%",".129",".296",".242",".305",".371",".299","74","-1.7","-55.8","-25.8","-2.6","1462"
"Alex Diaz","- - -","366","872","8","102","75","41","3.8%","12.3%",".085",".264",".239",".271",".324",".263","51","-2.7","-58.6","1.6","-2.6","1003260"
"Andy Gonzalez","- - -","91","257","3","21","13","1","12.1%","27.2%",".076",".250",".182",".281",".258",".252","43","-2.6","-20.8","-14.9","-2.6","3669"
"Cy Morgan","- - -","210","532","0","26","37","2","2.1%","0.0%",".018",".000",".125",".146",".143",".143","-9","-1.3","-63.5","23.9","-2.6","1009174"
"Dave Koslo","- - -","349","571","3","31","30","1","6.3%","38.9%",".041",".182",".109",".168",".149",".159","-18","-0.2","-82.4","38.9","-2.6","1007118"
"Ed Connolly","Red Sox","149","407","0","13","31","0","7.1%","12.3%",".051",".206",".178",".239",".229",".224","24","-0.5","-43.1","0.5","-2.6","1002525"
"John Clarkson","- - -","546","2056","24","254","232","31","3.9%","18.6%",".100",".260",".219",".250",".319",".266","64","-7.3","-121.3","7.5","-2.6","1002293"
"Gerry Staley","- - -","622","617","1","35","19","0","6.2%","18.8%",".013",".159",".126",".186",".139",".163","-14","-0.6","-88.4","42.8","-2.7","1012388"
"Sleeper Sullivan","- - -","97","351","0","39","15","","1.1%","17.2%",".043",".230",".184",".194",".228",".192","49","0.0","-24.6","-16.8","-2.7","1012711"
"Doc McJames","- - -","178","558","0","42","39","5","3.0%","15.3%",".039",".192",".162",".188",".201",".189","9","-1.4","-77.1","23.7","-2.7","1008576"
"Carl Erskine","Dodgers","360","636","1","51","31","0","1.9%","18.9%",".024",".194",".156",".175",".180",".166","-13","0.2","-89.6","44.1","-2.7","1003816"
"Johnny Klippstein","- - -","708","554","5","28","29","0","2.5%","34.3%",".050",".188",".125",".152",".175",".152","-21","0.1","-81.5","39.2","-2.7","1007013"
"Drew Butera","- - -","499","1345","19","112","111","0","6.1%","20.9%",".098",".244",".201",".258",".299",".249","51","-2.4","-79.7","9.3","-2.7","3411"
"Sadie McMahon","- - -","325","1183","3","126","115","17","3.8%","12.1%",".043",".232",".204",".240",".246",".238","40","-5.1","-115.7","35.9","-2.7","1008632"
"Chris Short","Phillies","445","775","0","29","24","1","1.8%","25.5%",".013",".175",".126",".146",".139",".132","-21","0.3","-107.3","57.5","-2.7","1011931"
"Frank Dwyer","- - -","394","1340","5","178","136","16","5.2%","7.1%",".068",".247",".229",".273",".297",".274","54","-6.9","-103.8","14.9","-2.7","1003607"
"Dave Wickersham","- - -","283","362","0","9","10","0","2.5%","29.8%",".009",".129",".086",".111",".096",".097","-47","-0.3","-61.7","27.6","-2.7","1013917"
"Danny Sheaffer","- - -","389","1032","13","87","110","6","5.8%","11.8%",".092",".251",".232",".278",".323",".270","54","-2.3","-62.6","1.0","-2.7","1011829"
"Craig Paquette","- - -","814","2766","99","304","377","27","4.3%","22.4%",".172",".274",".239",".274",".411",".295","73","-2.1","-99.1","-22.1","-2.7","484"
"Gary Bennett","- - -","587","1876","22","141","192","6","7.4%","14.4%",".086",".273",".241",".302",".328",".279","61","-10.7","-104.5","15.6","-2.7","420"
"Junior Noboa","- - -","317","526","1","47","33","9","3.2%","8.9%",".049",".260",".239",".265",".288",".247","49","0.1","-31.1","-12.4","-2.7","1009612"
"Ike Delock","- - -","329","425","1","18","8","0","6.8%","36.2%",".017",".146",".086",".154",".102",".131","-34","0.1","-69.2","30.5","-2.7","1003179"
