"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Eli Marrero","- - -","724","2126","66","262","261","56","7.9%","17.5%",".168",".266",".243",".303",".411",".306","81","11.0","-43.0","35.7","6.3","1166"
"Gene Baker","- - -","630","2491","39","265","227","21","7.4%","8.8%",".120",".277",".265",".321",".385",".318","86","-1.0","-42.3","30.4","6.3","1000457"
"Tony Mullane","- - -","784","2970","8","407","223","112","7.4%","9.6%",".073",".270",".243",".307",".316",".299","91","2.2","-36.6","-6.8","6.3","1009291"
"Deion Sanders","- - -","641","2325","39","308","168","186","6.8%","15.1%",".130",".298",".263",".319",".392",".317","90","10.4","-18.7","3.6","6.2","1011415"
"Hack Miller","- - -","349","1289","38","164","205","10","5.0%","8.0%",".168",".330",".323",".361",".490",".388","119","0.9","32.9","-14.5","6.2","1008899"
"Burgess Whitehead","- - -","924","3562","17","415","245","51","4.2%","3.9%",".064",".274",".266",".304",".331",".296","71","8.6","-119.1","68.2","6.2","1013856"
"Art Whitney","- - -","978","4001","6","475","349","67","7.5%","5.9%",".046",".229",".223",".285",".269",".272","76","-19.9","-164.5","67.8","6.2","1013906"
"Doug Allison","- - -","318","1429","2","236","140","5","1.5%","2.8%",".049",".277",".271",".282",".320",".277","94","1.1","-10.2","29.3","6.2","1000168"
"Mickey Witek","- - -","580","2325","22","239","196","7","6.4%","3.6%",".069",".281",".277",".324",".347",".319","88","0.3","-32.5","20.3","6.2","1014163"
"Jack Lelivelt","- - -","384","1279","2","114","126","46","7.0%","12.5%",".081",".360",".301",".353",".381",".355","120","-1.6","27.5","-10.1","6.2","1007510"
"Pat Seerey","- - -","561","2094","86","236","261","3","12.4%","23.2%",".188",".257",".224",".321",".412",".346","108","-3.4","16.8","-26.8","6.2","1011720"
"Lew McCarty","- - -","532","1642","5","113","137","20","6.2%","6.6%",".069",".284",".266",".318",".335",".317","98","-3.2","-8.3","11.5","6.2","1008376"
"Hal Lee","- - -","752","2997","33","316","323","15","6.8%","7.5%",".117",".290",".275",".326",".392",".331","94","2.1","-20.7","-14.1","6.2","1007455"
"Chris Brown","- - -","449","1690","38","164","184","21","7.1%","14.9%",".123",".299",".269",".333",".392",".323","105","-3.3","6.9","-2.5","6.2","1001503"
"Dick Higham","- - -","372","1804","4","384","204","18","0.9%","1.6%",".071",".311",".307",".314",".378",".318","115","-4.9","41.4","-28.8","6.2","1005794"
"Nig Clarke","- - -","506","1711","6","157","127","16","8.1%","11.7%",".079",".250",".254",".318",".333",".321","103","-8.0","-5.1","1.1","6.2","1002299"
"Bob Unglaub","- - -","595","2307","5","188","216","66","3.8%","",".071","",".258",".288",".328",".301","95","-0.6","-12.6","-3.1","6.1","1013283"
"Kevin Elster","- - -","940","3225","88","332","376","14","9.1%","17.4%",".149",".251",".228",".300",".377",".298","81","-2.4","-76.8","30.1","6.1","1003758"
"Jigger Statz","- - -","683","2843","17","376","215","77","6.8%","7.4%",".088",".305",".285",".337",".373",".333","88","-0.3","-45.1","11.0","6.1","1012439"
"Rob Mackowiak","- - -","856","2618","64","307","286","49","8.7%","22.4%",".146",".318",".259",".332",".405",".321","91","13.6","-16.2","-8.8","6.1","995"
"Ivy Olson","- - -","1574","6630","13","730","446","156","4.3%","4.0%",".060",".268",".258",".295",".318",".294","73","1.0","-209.4","43.2","6.1","1009793"
"Jeff Reboulet","- - -","1018","2607","20","310","202","22","11.2%","15.4%",".077",".284",".240",".332",".318",".299","75","-2.3","-86.7","58.5","6.1","1389"
"Cotton Tierney","- - -","630","2489","31","266","331","28","4.4%","7.5%",".118",".312",".296",".332",".415",".344","92","-2.2","-27.6","4.1","6.1","1013061"
"Tim Hendryx","- - -","416","1546","6","152","192","26","12.0%","8.8%",".101",".307",".276",".372",".376",".364","116","-3.2","24.6","-20.0","6.1","1005645"
"Welington Castillo","- - -","654","2450","86","232","298","5","6.8%","25.2%",".168",".318",".259",".318",".427",".322","100","-16.0","-15.8","-1.6","6.1","3256"
"Ed Ott","- - -","567","1961","33","196","195","14","7.0%","13.0%",".109",".285",".259",".311",".368",".302","84","-3.2","-38.1","34.0","6.1","1009900"
"R.J. Reynolds","- - -","786","2512","35","288","294","109","7.6%","16.7%",".115",".310",".267",".321",".381",".311","96","9.5","-2.6","-20.7","6.1","1010872"
"Dick Porter","- - -","675","2844","11","426","282","23","9.4%","6.5%",".106",".329",".308",".376",".414",".364","102","-8.1","2.7","-39.3","6.1","1010451"
"Tex McDonald","- - -","357","1137","13","131","135","34","7.7%","11.0%",".135",".330",".298",".359",".434",".379","122","2.2","31.3","-12.7","6.1","1008468"
"Ed Hahn","- - -","553","2405","1","291","122","59","10.7%","",".042","",".237",".335",".278",".311","104","-6.5","3.1","-24.2","6.1","1005203"
"Alex Ochoa","- - -","807","2387","46","320","261","56","8.5%","12.1%",".143",".302",".279",".344",".422",".336","97","-7.9","-15.6","0.7","6.1","700"
"Mike Young","- - -","635","2116","72","244","235","22","11.2%","22.0%",".167",".291",".247",".338",".414",".336","108","-3.1","16.5","-26.9","6.1","1014386"
"Bill Tuttle","- - -","1270","4842","67","578","443","38","9.9%","8.6%",".104",".272",".259",".334",".363",".317","89","-7.1","-74.2","-17.6","6.1","1013238"
"Tim Foli","- - -","1696","6573","25","576","501","81","4.0%","6.1%",".059",".262",".251",".283",".309",".270","62","-4.1","-286.9","137.7","6.1","1004202"
"Bruce Edwards","- - -","591","1894","39","191","241","9","10.0%","9.5%",".134",".268",".256",".335",".390",".339","94","0.4","-13.7","11.2","6.1","1003683"
"Specs Toporcer","Cardinals","546","1777","9","223","151","22","8.4%","5.2%",".094",".292",".279",".347",".373",".339","91","3.6","-17.5","19.4","6.1","1013121"
"Geronimo Berroa","- - -","779","2825","101","379","382","19","9.8%","18.1%",".173",".308",".276",".349",".449",".350","108","-3.4","28.2","-63.8","6.0","1000900"
"Charlie Ferguson","Quakers","257","1078","6","191","157","22","10.5%","11.0%",".084",".323",".288",".364",".372",".349","122","-4.5","32.9","-3.3","6.0","1003987"
"Claude Hendrix","- - -","421","990","14","118","97","9","3.9%","17.0%",".125",".281",".241",".275",".366",".305","84","-1.1","-18.5","42.0","6.0","1005638"
"Justin Smoak","- - -","1129","4118","169","437","494","3","11.2%","23.7%",".189",".271",".233",".322",".422",".324","105","-32.2","-6.9","-71.5","6.0","9054"
"Bill McClellan","- - -","792","3486","6","533","304","132","7.9%","7.3%",".067",".242",".242",".305",".308",".293","94","3.4","-27.9","-31.3","6.0","1008391"
"Rex Hudler","- - -","774","1889","56","261","169","106","4.1%","17.2%",".161",".290",".261",".296",".422",".313","89","3.7","-20.8","18.1","6.0","1006131"
"Jim Tobin","- - -","396","884","17","81","102","1","9.0%","18.3%",".116",".269",".230",".303",".345",".309","83","-0.2","-18.3","49.7","6.0","1013089"
"Lee Walls","- - -","902","2868","66","331","284","21","8.5%","16.4%",".136",".297",".262",".329",".398",".326","97","-1.5","-9.8","-22.4","6.0","1013563"
"Ed Phelps","- - -","633","2092","3","186","205","31","7.8%","9.8%",".051",".303",".251",".325",".302",".311","90","-9.1","-31.3","15.0","6.0","1010276"
"Ron Hodges","Mets","666","1683","19","119","147","10","13.3%","12.9%",".082",".268",".240",".342",".322",".306","91","-3.0","-20.3","21.8","6.0","1005886"
"Mox McQuery","- - -","417","1713","13","231","160","33","7.2%","8.7%",".094",".272",".271",".327",".365",".331","107","-6.2","11.7","-9.1","6.0","1008681"
"Adam Comorosky","- - -","813","3116","28","404","417","57","6.9%","5.1%",".115",".295",".285",".339",".400",".338","90","10.5","-28.5","-10.9","6.0","1002486"
"Harry Niles","- - -","608","2524","12","278","152","107","6.5%","",".063","",".247",".306",".310",".305","96","4.4","-6.7","-20.5","5.9","1009599"
"Earl Grace","- - -","627","2085","31","169","251","1","8.9%","6.2%",".104",".269",".263",".331",".367",".326","87","-0.5","-36.9","29.1","5.9","1004912"
"Rick Rhoden","- - -","397","830","9","58","75","0","2.0%","13.7%",".085",".267",".238",".253",".323",".258","58","-0.4","-40.1","69.4","5.9","1010887"
"Lee Handley","- - -","968","3697","15","418","297","68","7.2%","5.5%",".077",".283",".269",".323",".345",".315","83","11.9","-63.7","10.3","5.9","1005300"
"Bob Dillinger","- - -","753","3201","10","401","213","106","7.8%","6.3%",".085",".326",".306",".363",".391",".354","98","1.0","-7.8","-40.3","5.9","1003302"
"Lew Ford","- - -","519","1795","35","235","176","48","8.6%","13.9%",".131",".297",".268",".345",".399",".329","98","9.1","5.4","-6.5","5.9","1724"
"Willy Taveras","- - -","670","2644","8","358","128","195","5.1%","14.8%",".053",".323",".274",".320",".327",".292","68","42.5","-63.0","37.7","5.9","1876"
"Paul Sorrento","- - -","1093","3890","166","454","565","8","11.0%","21.7%",".200",".292",".257",".340",".457",".346","106","-5.0","24.3","-96.9","5.9","1012282"
"Ed Kranepool","Mets","1853","5997","118","536","614","15","7.6%","9.7%",".116",".271",".261",".316",".377",".309","95","-5.6","-39.9","-101.7","5.9","1007140"
"Michael Barrett","- - -","1054","3873","98","398","424","11","7.2%","12.4%",".158",".279",".263",".320",".422",".319","87","-11.1","-79.2","11.7","5.9","762"
"Lance Blankenship","Athletics","461","1292","9","176","92","54","15.5%","16.9%",".077",".270",".222",".350",".299",".310","96","3.5","-3.3","19.3","5.9","1001052"
"Mark Koenig","- - -","1162","4603","28","572","443","31","4.8%","4.1%",".088",".287",".279",".316",".367",".316","80","-1.4","-125.6","22.1","5.9","1007077"
"Sandy Alomar","- - -","1481","5160","13","558","282","227","5.9%","9.4%",".043",".270",".245",".290",".288",".267","69","16.9","-161.0","63.2","5.9","1000176"
"Dick Sisler","- - -","799","2880","55","302","360","6","7.8%","8.8%",".130",".289",".276",".336",".406",".344","101","0.3","3.2","-37.1","5.9","1012020"
"Josh Devore","- - -","601","2158","11","331","149","160","10.3%","10.9%",".082",".315",".277",".361",".359",".353","106","15.1","33.2","-50.3","5.9","1003254"
"Mickey Owen","- - -","1209","4072","14","338","378","36","8.0%","4.4%",".068",".265",".255",".318",".322",".305","76","5.3","-110.8","42.7","5.8","1009919"
"Damian Jackson","- - -","827","2509","32","332","198","133","9.8%","20.6%",".114",".301",".243",".323",".356",".303","82","16.3","-41.3","18.0","5.8","471"
"Jeff Francoeur","- - -","1481","5661","160","626","698","54","5.0%","19.1%",".155",".298",".261",".303",".416",".310","88","-14.1","-98.6","-24.7","5.8","4792"
"Brandon Nimmo","Mets","241","830","23","115","74","11","14.3%","26.5%",".186",".355",".264",".391",".449",".367","135","3.3","38.8","-8.0","5.8","12927"
"Glenn Borgmann","- - -","474","1526","16","137","151","4","12.5%","12.5%",".076",".253",".229",".325",".304",".296","81","-0.1","-31.6","38.7","5.8","1001201"
"Mike Benjamin","- - -","817","2124","24","227","169","44","5.0%","20.2%",".110",".282",".229",".277",".339",".271","57","2.3","-111.7","99.2","5.8","981"
"Jimmy Esmond","- - -","461","1748","9","204","162","61","7.8%","9.3%",".095",".290",".264",".324",".359",".330","94","6.8","-6.9","3.6","5.8","1003826"
"Ryan Roberts","- - -","518","1692","46","205","169","35","9.8%","18.9%",".145",".279",".243",".320",".388",".313","91","2.1","-16.2","19.1","5.8","5653"
"Al Wingo","- - -","493","1575","9","224","191","23","13.4%","7.6%",".115",".334",".308",".404",".423",".389","116","-4.0","30.8","-25.7","5.8","1014131"
"John Dobbs","- - -","582","2506","7","305","207","78","7.5%","",".068","",".263",".325",".331",".318","97","-1.3","-11.1","-21.2","5.8","1003340"
"Lou Berberet","- - -","448","1449","31","118","153","2","13.8%","13.5%",".120",".247",".230",".337",".350",".311","86","0.0","-24.0","36.6","5.8","1000862"
"Dave Rader","- - -","846","2702","30","254","235","8","9.1%","6.7%",".092",".266",".257",".326",".349",".303","82","0.6","-53.2","18.9","5.8","1010636"
"Jung Ho Kang","Pirates","232","843","36","105","120","8","7.6%","21.2%",".208",".315",".274",".355",".482",".361","129","0.3","29.7","-0.5","5.8","17182"
"Evar Swanson","- - -","518","2162","7","325","170","69","9.8%","6.2%",".087",".323",".303",".376",".390",".358","99","6.8","2.8","-20.2","5.8","1012760"
"Livan Hernandez","- - -","537","1113","10","64","85","0","0.9%","11.7%",".074",".245",".221",".231",".295",".230","32","-0.2","-96.0","119.3","5.8","1116"
"Lamar Johnson","- - -","792","2883","64","294","381","22","7.3%","10.6%",".128",".302",".287",".338",".415",".338","108","-2.6","25.5","-63.3","5.8","1006481"
"Marlon Anderson","- - -","1151","3508","63","392","371","71","6.5%","13.4%",".126",".291",".265",".314",".391",".306","82","14.4","-69.5","11.2","5.8","947"
"Oris Hockett","- - -","551","2353","13","259","214","43","6.8%","6.7%",".089",".293",".276",".329",".365",".331","102","-10.6","-6.1","-15.8","5.8","1005877"
"Jeff Mathis","- - -","836","2694","48","232","265","10","6.9%","28.1%",".107",".264",".198",".258",".306",".249","50","-2.0","-164.7","131.9","5.8","3448"
"Terry Whitfield","- - -","729","2106","33","233","179","18","6.6%","13.7%",".113",".314",".281",".330",".394",".323","103","-5.4","1.1","-13.9","5.8","1013899"
"Pep Young","- - -","730","2668","32","274","347","18","5.7%","11.7%",".118",".289",".262",".308",".380",".316","83","2.6","-53.7","26.7","5.8","1014387"
"Lee Thomas","- - -","1027","3730","106","405","428","25","8.9%","10.6%",".142",".261",".255",".327",".397",".322","99","1.6","0.8","-52.6","5.8","1012986"
"George Crowe","- - -","702","1915","81","215","299","3","8.3%","12.8%",".195",".273",".270",".333",".466",".352","110","1.1","24.8","-27.6","5.7","1002825"
"Billy Grabarkewitz","- - -","466","1390","28","189","141","33","14.5%","23.1%",".128",".299",".236",".351",".364",".329","104","0.5","9.5","-1.2","5.7","1004907"
"Shane Spencer","- - -","538","1867","59","208","242","13","8.1%","19.1%",".166",".297",".262",".326",".428",".327","96","2.7","-7.3","0.5","5.7","848"
"Bobby Wheelock","- - -","236","974","3","138","70","106","12.1%","9.2%",".049",".260",".235",".330",".285",".311","90","9.9","-5.5","30.2","5.7","1013829"
"Wilbur Good","- - -","749","2650","9","324","187","104","7.2%","11.5%",".084",".298",".258",".322",".342",".324","99","3.1","-1.4","-30.1","5.7","1004865"
"Miguel Sano","Twins","381","1612","84","210","236","2","11.9%","36.3%",".233",".348",".244",".336",".477",".347","117","-10.6","21.7","-20.2","5.7","12164"
"Mike Cubbage","- - -","703","2221","34","218","251","6","9.7%","10.5%",".111",".275",".258",".330",".369",".317","94","-4.5","-21.2","2.8","5.7","1002846"
"Spud Johnson","- - -","331","1463","4","246","238","93","7.5%","8.1%",".090",".296",".302",".368",".392",".368","121","0.9","48.8","-32.0","5.7","1006503"
"Hank Foiles","- - -","607","1655","46","171","166","3","10.3%","17.8%",".149",".273",".243",".321",".392",".314","90","-1.4","-22.2","26.2","5.7","1004194"
"Ernie Koy","- - -","558","2016","36","238","260","40","6.8%","14.1%",".148",".314",".279",".332",".427",".348","105","7.2","19.5","-21.6","5.7","1007129"
"Bill Serena","Cubs","408","1431","48","154","198","2","12.4%","16.4%",".188",".275",".251",".348",".439",".361","108","0.2","13.2","-4.0","5.7","1011752"
"Frank Menechino","- - -","450","1510","36","207","149","3","13.2%","18.5%",".143",".279",".240",".358",".383",".333","101","-2.2","-0.6","6.6","5.7","931"
"Burleigh Grimes","- - -","632","1685","2","157","168","15","4.1%","14.3%",".059",".293",".248",".282",".306",".277","56","1.9","-91.7","93.3","5.7","1005061"
"Bris Lord","- - -","742","3073","13","379","236","74","5.7%","8.9%",".093",".256",".256",".304",".348",".316","94","-4.2","-23.0","-20.5","5.6","1007759"
"Jack Stivetts","- - -","601","2144","35","347","357","31","6.2%","9.0%",".141",".314",".297",".344",".438",".365","102","-12.2","-9.3","-11.8","5.6","1012547"
"Ozzie Albies","Braves","215","928","30","139","100","22","6.1%","16.4%",".186",".293",".268",".317",".453",".330","103","8.3","12.4","13.5","5.6","16556"
"Steven Souza Jr.","- - -","471","1809","70","218","198","41","10.6%","31.2%",".184",".314",".233",".323",".417",".322","103","10.7","18.5","-23.2","5.6","5667"
"Gordon Beckham","- - -","986","3542","74","391","336","32","7.1%","17.0%",".128",".270",".239",".302",".366",".296","80","-2.3","-82.8","19.4","5.6","9015"
"John Orsino","- - -","332","1135","40","114","123","3","8.1%","16.8%",".172",".267",".249",".319",".420",".326","107","-0.3","9.4","9.8","5.6","1009851"
"Claude Rossman","- - -","511","2019","3","175","238","49","4.5%","",".076","",".283",".318",".359",".330","111","-3.0","18.1","-35.5","5.6","1011234"
"Jerry May","- - -","556","1716","15","120","130","1","9.1%","17.1%",".084",".278",".234",".307",".318",".278","77","-0.1","-43.5","39.4","5.6","1008302"
"Mitch Moreland","- - -","1046","3797","147","429","501","10","8.4%","21.4%",".187",".286",".251",".318",".438",".325","98","-14.0","-22.4","-50.2","5.6","3086"
"Al Ferrara","- - -","574","1573","51","148","198","0","9.9%","18.2%",".164",".292",".259",".344",".423",".346","121","0.2","38.5","-41.5","5.6","1004003"
"Roberto Perez","Indians","295","963","21","92","99","1","11.2%","28.6%",".134",".277",".205",".298",".340",".283","72","-5.7","-38.2","60.2","5.6","2900"
"Kevin Stocker","- - -","846","3197","23","340","248","45","9.8%","16.9%",".090",".306",".254",".338",".343",".306","79","-3.5","-91.4","41.3","5.6","1012549"
"Gerald Williams","- - -","1168","3323","85","474","365","106","5.4%","15.9%",".155",".282",".255",".301",".410",".310","80","-3.8","-89.2","30.9","5.6","1395"
"Don Padgett","- - -","699","2146","37","247","338","6","6.6%","6.1%",".128",".294",".288",".336",".415",".346","101","0.3","5.1","-14.5","5.6","1009945"
"Wes Schulmerich","- - -","429","1584","27","169","192","7","7.4%","12.4%",".135",".320",".289",".347",".424",".354","110","1.0","19.5","-13.2","5.6","1011646"
"Les Moss","- - -","824","2549","63","210","276","1","11.1%","12.4%",".122",".263",".247",".333",".369",".329","85","-1.2","-47.4","18.0","5.6","1009251"
"Rob Wilfong","- - -","959","3015","39","318","261","54","6.8%","12.8%",".097",".276",".248",".303",".345",".293","77","-2.0","-81.8","39.0","5.6","1013943"
"Alex Grammas","- - -","913","2348","12","236","163","17","8.8%","8.2%",".070",".266",".247",".318",".317",".290","67","-0.9","-96.1","78.0","5.6","1004941"
"Willson Contreras","Cubs","331","1255","43","133","163","11","9.9%","22.8%",".184",".321",".266",".349",".450",".344","113","-12.3","9.0","6.1","5.6","11609"
"Bill Sudakis","- - -","530","1751","59","177","214","9","9.8%","17.9%",".160",".254",".234",".311",".393",".318","101","0.0","1.9","-9.0","5.6","1012668"
"Joe Girardi","- - -","1277","4535","36","454","422","44","6.2%","13.4%",".084",".303",".267",".315",".350",".297","71","-7.5","-174.8","76.3","5.6","280"
"Leroy Stanton","- - -","829","2883","77","294","358","36","8.2%","22.1%",".144",".293",".244",".311",".388",".317","102","-2.3","3.5","-41.5","5.6","1012420"
"Henry Rodriguez","- - -","950","3343","160","389","523","10","8.3%","24.0%",".222",".298",".259",".321",".481",".342","105","-4.2","18.8","-66.8","5.6","1427"
"Yangervis Solarte","- - -","642","2567","74","273","300","6","7.2%","12.1%",".151",".270",".259",".317",".410",".316","99","-17.2","-19.9","-8.7","5.5","5352"
"Fred Odwell","Reds","411","1579","10","198","168","72","5.6%","",".093","",".258",".313",".352",".323","97","4.5","-1.8","1.0","5.5","1009735"
"Butch Nieman","Braves","332","1183","37","147","167","20","10.9%","10.1%",".176",".260",".256",".339",".432",".364","116","3.4","25.1","-9.2","5.5","1009588"
"Steve Bilko","- - -","600","1992","76","220","276","2","11.7%","19.8%",".195",".278",".249",".336",".444",".350","103","-0.2","8.1","-15.5","5.5","1000966"
"Pop Schriver","- - -","800","3024","16","367","375","46","7.4%","6.5%",".090",".278",".264",".329",".354",".330","90","-16.4","-66.6","9.5","5.5","1011616"
"Craig Wilson","- - -","698","2311","99","303","292","14","8.6%","27.8%",".211",".335",".262",".353",".474",".357","115","-4.3","40.1","-60.9","5.5","1015"
"Billy Urbanski","Braves","763","3345","19","379","207","24","5.9%","7.5%",".077",".278",".260",".309",".337",".302","81","3.8","-73.5","22.1","5.5","1013296"
"Charlie Babb","- - -","347","1376","0","144","116","66","9.1%","",".057","",".243",".339",".300",".316","98","3.0","-1.0","2.0","5.5","1000393"
"Sean Berry","- - -","860","2692","81","310","369","47","7.7%","16.3%",".172",".300",".272",".334",".445",".339","105","-1.2","13.8","-44.9","5.5","1000910"
"Gabe Gross","- - -","657","1682","40","203","186","22","11.8%","20.7%",".146",".286",".239",".330",".385",".317","91","7.8","-10.2","8.8","5.5","2184"
"Matt Olson","Athletics","232","904","53","121","129","2","11.0%","25.1%",".247",".275",".246",".338",".492",".354","127","-4.0","25.7","-1.8","5.5","14344"
"Jerry Hairston","- - -","859","2023","30","216","205","4","13.9%","11.8%",".114",".281",".258",".362",".371",".335","105","-0.7","12.1","-25.1","5.5","1005210"
"Kelly Shoppach","- - -","572","1855","70","208","216","1","8.4%","33.6%",".189",".313",".223",".312",".413",".319","96","-1.6","-10.5","2.2","5.5","3867"
"Logan Morrison","- - -","959","3713","137","408","421","23","10.4%","19.4%",".188",".266",".239",".325",".427",".326","106","-4.8","22.3","-87.7","5.5","9205"
"Eddie Mayo","- - -","834","3392","26","350","287","29","7.6%","5.2%",".076",".261",".252",".313",".328",".307","78","-10.7","-97.5","41.1","5.5","1008307"
"Christian Vazquez","Red Sox","291","999","10","103","80","11","5.9%","17.7%",".089",".293",".246",".296",".335",".277","67","-6.9","-46.2","65.7","5.5","9774"
"Ramon Santiago","- - -","920","2794","30","295","214","30","7.3%","15.0%",".087",".281",".243",".314",".330",".291","76","7.4","-74.4","32.0","5.5","1417"
"John Wathan","Royals","860","2764","21","305","261","105","7.2%","9.6%",".081",".284",".262",".318",".343",".300","83","6.9","-46.7","9.1","5.5","1013666"
"Lou Criger","- - -","1012","3619","11","337","342","58","8.5%","0.0%",".068",".000",".221",".295",".290",".288","75","-11.0","-116.1","49.1","5.5","1002767"
"Joey Gallo","Rangers","346","1262","88","185","187","14","13.4%","38.0%",".295",".256",".203",".317",".498",".344","108","9.5","22.0","-10.6","5.5","14128"
"John Buck","- - -","1090","4009","134","389","491","6","7.7%","23.9%",".164",".279",".234",".301",".398",".305","85","-12.2","-87.2","9.4","5.4","2041"
"Felix Mantilla","- - -","969","3027","89","360","330","27","8.5%","11.6%",".142",".270",".261",".329",".403",".327","101","2.3","3.0","-51.0","5.4","1008081"
"Don Lenhardt","- - -","481","1720","61","192","239","6","12.4%","13.7%",".179",".287",".271",".365",".450",".374","112","-0.9","26.3","-29.2","5.4","1007522"
"Jimmy Ripple","- - -","554","2022","28","241","251","7","7.7%","4.4%",".113",".285",".282",".343",".395",".343","103","0.5","8.4","-15.2","5.4","1010983"
"Sandy Amoros","- - -","517","1558","43","215","180","18","13.5%","12.1%",".175",".268",".255",".361",".430",".355","109","-1.3","15.5","-8.1","5.4","1000212"
"Alan Wiggins","- - -","631","2553","5","346","118","242","9.2%","7.6%",".051",".280",".259",".330",".309",".296","84","20.8","-27.2","-5.9","5.4","1013931"
"Brandon Guyer","- - -","518","1487","32","184","137","22","6.1%","18.1%",".138",".292",".250",".339",".388",".323","104","2.7","9.4","-7.6","5.4","2636"
"Joe Tipton","- - -","417","1324","29","116","125","3","14.0%","10.7%",".119",".248",".236",".351",".355",".336","94","0.0","-10.3","19.6","5.4","1013081"
"Matt Adams","- - -","707","2190","96","248","332","4","6.3%","22.9%",".204",".307",".266",".314",".470",".335","110","-5.6","20.9","-37.5","5.4","9393"
"Frank Baumholtz","- - -","1019","3807","25","450","272","30","6.8%","6.8%",".098",".307",".290",".342",".389",".338","93","-0.3","-32.0","-38.2","5.4","1000691"
"Ted Lepcio","- - -","729","2344","69","233","251","11","8.9%","20.1%",".153",".284",".245",".318",".398",".324","88","-2.3","-36.9","14.9","5.4","1007545"
"Jack Dalton","- - -","345","1346","4","167","112","52","9.6%","8.3%",".070",".314",".286",".362",".356",".352","112","5.9","23.6","-14.3","5.4","1002951"
"Gaby Sanchez","- - -","700","2271","61","236","266","12","9.9%","16.2%",".159",".281",".254",".332",".413",".328","105","-2.8","9.4","-26.9","5.4","3361"
"Dick Johnston","- - -","746","3135","33","453","386","151","4.2%","9.5%",".115",".268",".251",".285",".366",".304","87","2.1","-69.7","-8.6","5.4","1006445"
"Keith Moreland","- - -","1306","5082","121","511","674","28","8.0%","10.1%",".132",".289",".279",".335",".411",".330","102","-8.7","2.1","-119.1","5.4","1009161"
"Fred Hutchinson","Tigers","354","734","4","71","83","6","9.0%","4.1%",".063",".271",".263",".334",".326",".316","77","0.6","-20.9","49.3","5.4","1006238"
"Ernest Riles","- - -","919","2811","48","309","284","20","8.7%","14.5%",".110",".284",".254",".319",".365",".308","90","-8.0","-41.3","0.2","5.4","1010964"
"Scott Hairston","- - -","923","2660","106","300","313","36","6.6%","21.7%",".200",".273",".242",".296",".442",".318","96","1.3","-13.1","-17.7","5.4","1926"
"Jon Nunnally","- - -","364","1049","42","162","125","19","13.9%","22.8%",".223",".289",".246",".354",".469",".357","111","-1.5","12.9","6.5","5.4","1009660"
"Deivi Cruz","- - -","1234","4375","70","442","464","16","3.0%","9.8%",".119",".284",".269",".293",".388",".296","75","-18.1","-159.2","64.7","5.4","1025"
"Max Kepler","Twins","419","1633","56","199","190","16","9.8%","18.7%",".184",".257",".233",".313",".417",".314","94","8.1","-2.8","0.1","5.4","12144"
"Derrel Thomas","- - -","1597","5268","43","585","370","140","8.7%","11.3%",".084",".275",".249",".317",".332",".298","85","-6.5","-96.4","-24.9","5.3","1012971"
"Gabe Kapler","- - -","1104","3315","82","443","386","77","8.1%","14.5%",".152",".293",".268",".329",".420",".327","91","4.4","-31.2","-27.1","5.3","1256"
"Harry Simpson","- - -","888","3137","73","343","381","17","8.6%","13.7%",".142",".290",".266",".331",".408",".333","99","-1.5","-4.6","-46.0","5.3","1011995"
"Darwin Barney","- - -","814","2759","31","297","201","29","5.6%","12.6%",".095",".273",".246",".294",".341",".280","71","9.5","-82.5","46.8","5.3","2430"
"Patsy Gharrity","Senators","676","2234","20","237","251","32","8.4%","10.3%",".104",".288",".262",".331",".366",".330","91","1.6","-24.7","3.0","5.3","1004652"
"Farmer Weaver","- - -","753","3321","9","423","344","162","5.6%","3.3%",".070",".285",".278",".330",".348",".328","95","-1.0","-33.4","-40.7","5.3","1013696"
"Doug Mirabelli","- - -","566","1655","58","162","206","3","10.0%","25.1%",".176",".282",".231",".317",".407",".318","88","-8.5","-34.4","32.4","5.3","202"
"Kaz Matsui","- - -","630","2555","32","330","211","102","7.0%","15.8%",".113",".310",".267",".321",".380",".309","82","23.5","-33.5","4.7","5.3","1854"
"Steve Brady","- - -","490","2133","4","313","114","22","4.4%","7.0%",".050",".253",".261",".296",".311",".285","99","-1.2","-6.3","-16.1","5.3","1001330"
"Danny Valencia","- - -","865","3222","96","360","397","11","6.7%","20.2%",".157",".311",".268",".317",".426",".321","101","-28.0","-23.8","-34.3","5.3","6364"
"David Dellucci","- - -","1099","3266","101","431","398","41","9.9%","21.9%",".179",".305",".256",".338",".435",".336","99","3.8","-0.6","-54.2","5.3","1402"
"Clyde Kluttz","- - -","656","2072","19","172","212","5","6.4%","5.7%",".086",".278",".268",".318",".354",".318","84","0.6","-36.6","23.2","5.3","1007021"
"Pat Moran","- - -","817","2864","18","198","261","55","5.0%","10.0%",".077",".235",".235",".283",".312",".289","79","-5.6","-75.6","26.2","5.3","1009152"
"Tillie Shafer","Giants","283","909","5","138","83","60","11.6%","9.9%",".086",".316",".273",".366",".360",".355","111","4.4","16.9","1.1","5.2","1011780"
"Todd Hollandsworth","- - -","1118","3492","98","451","401","75","7.5%","20.1%",".166",".321",".273",".328",".439",".332","97","3.6","-10.5","-48.2","5.2","433"
